Materia,Notas
CLUB DE CINE,10.0
FUNDAMENTOS DE LA IMAGEN,8.2
INTRODUCCION AL DIBUJO,7.5
GRAFICA DIGITAL I,8.6
HISTORIA DEL ARTE,8.6
COMUNICACION Y LENGUAJE,8.3
INGLES AVANZADO,7.8
FUNDAMENTOS DE LA ADMINISTR,7.6
TEORIA MULT Y AUDIOVISUAL;9.0
HISTORIA DEL ARTE II,9.5
DIBUJO NATURALISTA,8.0
GRAFICA DIGITAL II,9.2
SEMIOTICA DE LA IMAGEN,9.4
LOGICA Y FORMA,10.0
TEORIA DE LA COMUNICACION,9.0
INTRODUCCION AL CINE,9.2
FOTOGRAFIA E ILUMINACION,7.7
