Materia,Notas
METODOS ESTADISTICOS,8.8
MULTIMEDIA E INTERACT I ,8.8
SONIDO DIGITAL I,9.3
GUION CINEMATOGRAFICO II,8.1
MODELADO 3D ORGANICO;9.2
ANIMACION 3D,8.3
VIDEOCOMPOSICION DIGITAL I,8.6
ILUMINACI Y TEXTURA DIGITAL,9.6
D-LEGISLACION Y COSTOS,9.1
D-PUBLICIDAD Y MARKETING,8.3
D-TRABAJO EN EQUIPO,9.2
D-MARKETING PERSONAL,7.7
D-MULTIMEDIA E INTERACT II,9.8
D-ANIMACION 3D III,8.6
D-ESCULTURA DIGITAL,9.2
D-VIDEOCOMPOSICION DIGITAL II,8.8
